expo,table,project,sponsors,link,category,special
A,L8,CrowdWings,"Best Designed Investor Education Product - Finra, Most Futuristic Hack - Paypal, Best Accessibility Hack - Microsoft, Most Unique Hack - 1517 Fund, Best Philanthropic Hack - Bloomberg, Best Financial Hack - Capital One, Best Hack (be passionate) - Facebook",http://bitcamp2018.devpost.com/submissions/92540-crowdwings,Venture Trail,
A,M11,BitLamp,"Housing insights â€œin-betweenâ€ù Datasets - Fannie Mae, Best Designed Investor Education Product - Finra, Most Futuristic Hack - Paypal, Best Accessibility Hack - Microsoft, Most Unique Hack - 1517 Fund, Best Philanthropic Hack - Bloomberg, Best Hack (be passionate) - Facebook",http://bitcamp2018.devpost.com/submissions/92477-bitlamp,Scout Trail,
A,O4,Chroma,"Using Virtual Reality Technology Design the Best Manufacturing Facility - Lockheed Martin, Improving Healthcare with Mobile Technologies - Credible Behavioral Health, Best Domain Name from Domain.com, Most Futuristic Hack - Paypal, Best Accessibility Hack - Microsoft, Most Unique Hack - 1517 Fund, Best Hack (be passionate) - Facebook",http://bitcamp2018.devpost.com/submissions/92510-chroma,Scout Trail,
A,Q10,Porcupine,Best Use of MongoDB Stitch - MongoDB,http://bitcamp2018.devpost.com/submissions/92485-porcupine,Scout Trail,
A,Q12,BitAlert,"Decentralise Everything: Blockchain challenge - Ark, Best use of SparkPost API - SparkPost, Most Futuristic Hack - Paypal, Best Philanthropic Hack - Bloomberg, Best Financial Hack - Capital One, Best Hack (be passionate) - Facebook",http://bitcamp2018.devpost.com/submissions/92492-bitalert,Scout Trail,
A,Q2,HawkEye,"Most Futuristic Hack - Paypal, Best Philanthropic Hack - Bloomberg, Best Hack (be passionate) - Facebook, Best Hack with Esri APIs and SDKs - Esri",http://bitcamp2018.devpost.com/submissions/92404-hawkeye,Scout Trail,
A,Q4,eko,,http://bitcamp2018.devpost.com/submissions/92417-eko,Scout Trail,
A,Q6,UNICOMP,"Most Unique Hack - 1517 Fund, Best Hack (be passionate) - Facebook",http://bitcamp2018.devpost.com/submissions/92449-unicomp,Scout Trail,
A,Q8,Reflextion,"Best Domain Name from Domain.com, Most Futuristic Hack - Paypal, Best Accessibility Hack - Microsoft, Most Unique Hack - 1517 Fund, Best Philanthropic Hack - Bloomberg, Best Hack (be passionate) - Facebook",http://bitcamp2018.devpost.com/submissions/92472-reflextion,Scout Trail,
A,R1,Beep Me,"Best Accessibility Hack - Microsoft, Best Hack (be passionate) - Facebook",http://bitcamp2018.devpost.com/submissions/92499-beep-me,Scout Trail,
A,R3,Pres.io,Best Hack (be passionate) - Facebook,http://bitcamp2018.devpost.com/submissions/92513-pres-io,Scout Trail,
A,R4,Becorum - Robust Universal Mobility App,"Best Domain Name from Domain.com, Most Futuristic Hack - Paypal, Best Financial Hack - Capital One, Most Unique Hack - 1517 Fund, Best Hack (be passionate) - Facebook, Best Accessibility Hack - Microsoft",http://bitcamp2018.devpost.com/submissions/92182-becorum-robust-universal-mobility-app,Venture Trail,
A,R6,Myracle,,http://bitcamp2018.devpost.com/submissions/92520-myracle,Scout Trail,
A,S2,TravelBud,Most Unique Hack - 1517 Fund,http://bitcamp2018.devpost.com/submissions/92497-travelbud,Venture Trail,
A,S4,Mr. Don't Blink,"Best Digital Forensic Hack - Cipher Tech Solutions, Using Virtual Reality Technology Design the Best Manufacturing Facility - Lockheed Martin, Most Futuristic Hack - Paypal, Most Unique Hack - 1517 Fund, Best Hack (be passionate) - Facebook",http://bitcamp2018.devpost.com/submissions/92532-mr-don-t-blink,Hacker Trail,
A,S5,Gift It: An iOS and Android Native Platform for Gifts,"Most Futuristic Hack - Paypal, Most Unique Hack - 1517 Fund, Best Hack (be passionate) - Facebook",http://bitcamp2018.devpost.com/submissions/92523-gift-it-an-ios-and-android-native-platform-for-gifts,Venture Trail,
A,S7,Frankenstein's Monkey,"Best Domain Name from Domain.com, Most Futuristic Hack - Paypal, Most Unique Hack - 1517 Fund, Best Hack (be passionate) - Facebook",http://bitcamp2018.devpost.com/submissions/92281-frankenstein-s-monkey,Hacker Trail,
A,S8,GeoChain,"Decentralise Everything: Blockchain challenge - Ark, Best Hack (be passionate) - Facebook",http://bitcamp2018.devpost.com/submissions/92530-geochain,Venture Trail,
A,T1,Sheng-Ke (The Tabletop Card Game),"Most Unique Hack - 1517 Fund, Best Hack (be passionate) - Facebook",http://bitcamp2018.devpost.com/submissions/92269-sheng-ke-the-tabletop-card-game,Hacker Trail,
A,T3,Paranoia,,http://bitcamp2018.devpost.com/submissions/92293-paranoia,Hacker Trail,
A,T5,Bitnana,Best Designed Investor Education Product - Finra,http://bitcamp2018.devpost.com/submissions/92306-bitnana,Hacker Trail,
A,V1,Represent Me,"Best use of SparkPost API - SparkPost, Best Use of MongoDB Stitch - MongoDB, Best Hack (be passionate) - Facebook",http://bitcamp2018.devpost.com/submissions/92279-represent-me,Scout Trail,
A,V7,Immersive Atoms,"Most Unique Hack - 1517 Fund, Best Hack (be passionate) - Facebook",http://bitcamp2018.devpost.com/submissions/92486-immersive-atoms,Hacker Trail,
B,A10,Ram Bars,,http://bitcamp2018.devpost.com/submissions/92280-ram-bars,Hacker Trail,
B,A12,Sketch Ya Later,"Most Futuristic Hack - Paypal, Most Unique Hack - 1517 Fund, Best Hack (be passionate) - Facebook",http://bitcamp2018.devpost.com/submissions/92284-sketch-ya-later,Hacker Trail,
B,A6,Testudo Course Monitor,,http://bitcamp2018.devpost.com/submissions/92273-testudo-course-monitor,Hacker Trail,
B,A8,TweetMap,"Most Unique Hack - 1517 Fund, Best Hack (be passionate) - Facebook, Best Hack with Esri APIs and SDKs - Esri",http://bitcamp2018.devpost.com/submissions/92276-tweetmap,Hacker Trail,
B,B11,Tanks!,"Most Futuristic Hack - Paypal, Most Unique Hack - 1517 Fund, Best Hack (be passionate) - Facebook",http://bitcamp2018.devpost.com/submissions/92316-tanks,Hacker Trail,
B,B13,Nutribrain,"Best Philanthropic Hack - Bloomberg, Best Accessibility Hack - Microsoft",http://bitcamp2018.devpost.com/submissions/92318-nutribrain,Hacker Trail,
B,B5,Disaster Prevention,Best Hack for Aiding Natural Disaster Recovery Efforts - Booz Allen Hamilton,http://bitcamp2018.devpost.com/submissions/92300-disaster-prevention,Hacker Trail,
B,B7,C++ Vending Machine,,http://bitcamp2018.devpost.com/submissions/92304-c-vending-machine,Hacker Trail,
B,B9,CrowdPlay,"Most Unique Hack - 1517 Fund, Best Hack (be passionate) - Facebook",http://bitcamp2018.devpost.com/submissions/92307-crowdplay,Hacker Trail,
B,C10,ShadowSound,"Most Futuristic Hack - Paypal, Most Unique Hack - 1517 Fund",http://bitcamp2018.devpost.com/submissions/92339-shadowsound,Hacker Trail,
B,C12,Flock,"Decentralise Everything: Blockchain challenge - Ark, Most Futuristic Hack - Paypal, Best Financial Hack - Capital One, Most Unique Hack - 1517 Fund, Best Hack (be passionate) - Facebook, Best Accessibility Hack - Microsoft",http://bitcamp2018.devpost.com/submissions/92352-flock,Hacker Trail,
B,C2,Media-Documentation For Repository,"Amazon Web Services - Best Use of AWS, Best Use of MongoDB Stitch - MongoDB, Best Hack (be passionate) - Facebook",http://bitcamp2018.devpost.com/submissions/92321-media-documentation-for-repository,Hacker Trail,
B,C4,Cyber Bully Identifier,"Most Futuristic Hack - Paypal, Most Unique Hack - 1517 Fund, Best Philanthropic Hack - Bloomberg, Best Hack (be passionate) - Facebook, Best Accessibility Hack - Microsoft",http://bitcamp2018.devpost.com/submissions/92325-cyber-bully-identifier,Hacker Trail,
B,C6,StoryBoard,"Best use of SparkPost API - SparkPost, Best Hack (be passionate) - Facebook",http://bitcamp2018.devpost.com/submissions/92332-storyboard,Hacker Trail,
B,C8,Watch as Words,"Best Hack (be passionate) - Facebook, Best Accessibility Hack - Microsoft",http://bitcamp2018.devpost.com/submissions/92335-watch-as-words,Hacker Trail,
B,D1,Smile,,http://bitcamp2018.devpost.com/submissions/92360-smile,Hacker Trail,
B,D11,Color Clicker,,http://bitcamp2018.devpost.com/submissions/92380-color-clicker,Hacker Trail,
