expo,table,project,sponsors,link,category,special
B,H5,InvestRobo,"Most Unique Hack - 1517 Fund, Best Financial Hack - Capital One",http://bitcamp2018.devpost.com/submissions/92544-investrobo,Hacker Trail,
B,H7,Meme Relief,"Most Unique Hack - 1517 Fund, Best Hack (be passionate) - Facebook",http://bitcamp2018.devpost.com/submissions/92270-meme-relief,Scout Trail,
B,H9,Alexa Startups,"Amazon Web Services - Best Use of AWS, Best Financial Hack - Capital One, Best Designed Investor Education Product - Finra, Best Use of MongoDB Stitch - MongoDB",http://bitcamp2018.devpost.com/submissions/92283-alexa-startups,Scout Trail,
B,I10,HOW TO HACK A COMPUTER: REMOTE CODE EXECUTION,"Most Unique Hack - 1517 Fund, Best Digital Forensic Hack - Cipher Tech Solutions",http://bitcamp2018.devpost.com/submissions/92378-how-to-hack-a-computer-remote-code-execution,Scout Trail,
B,I12,Racing Yeti Simulator,,http://bitcamp2018.devpost.com/submissions/92383-racing-yeti-simulator,Scout Trail,
B,I2,Fruit | Invest in your future,,http://bitcamp2018.devpost.com/submissions/92301-fruit-invest-in-your-future,Scout Trail,
B,I4,Lumify,"Best IoT Hack Using a Qualcomm Device, Amazon Web Services - Best Use of AWS, Best Domain Name from Domain.com, Most Futuristic Hack - Paypal, Best Designed Investor Education Product - Finra, Most Unique Hack - 1517 Fund, Best Hack (be passionate) - Facebook, Best Accessibility Hack - Microsoft",http://bitcamp2018.devpost.com/submissions/92312-lumify,Scout Trail,
B,I8,InfoLane,"Most Unique Hack - 1517 Fund, Best Hack (be passionate) - Facebook",http://bitcamp2018.devpost.com/submissions/92322-infolane,Scout Trail,
B,K10,Konnex,Best Designed Investor Education Product - Finra,http://bitcamp2018.devpost.com/submissions/92357-konnex,Venture Trail,
B,K12,Shotradar,"Amazon Web Services - Best Use of AWS, Best Domain Name from Domain.com, Best Hack for Aiding Natural Disaster Recovery Efforts - Booz Allen Hamilton, Most Futuristic Hack - Paypal, Most Unique Hack - 1517 Fund, Best Philanthropic Hack - Bloomberg, Best Hack (be passionate) - Facebook, Best Accessibility Hack - Microsoft",http://bitcamp2018.devpost.com/submissions/92388-shotradar,Venture Trail,
B,K8,Third Floor Planning,"Best Domain Name from Domain.com, Most Unique Hack - 1517 Fund",http://bitcamp2018.devpost.com/submissions/92287-third-floor-planning,Venture Trail,
B,L11,Slionel Messi,"Most Futuristic Hack - Paypal, Most Unique Hack - 1517 Fund, Best Hack (be passionate) - Facebook",http://bitcamp2018.devpost.com/submissions/92207-slionel-messi,Hacker Trail,
B,L13,Schedule Helper,,http://bitcamp2018.devpost.com/submissions/92265-schedule-helper,Hacker Trail,
